id,target
0,188
1,144
2,144
3,171
4,144
5,121
6,121
7,151
8,144
9,144
10,171
11,144
12,144
13,171
14,144
15,184
16,127
17,127
18,127
19,127
20,127
21,127
22,127
23,127
24,170
25,157
26,144
27,184
28,181
29,170
30,121
31,144
32,144
33,144
34,144
35,144
36,144
37,144
38,144
39,144
40,144
41,172
42,171
43,188
44,172
45,188
46,155
47,188
48,157
49,181
50,185
51,144
52,185
53,144
54,16
55,180
56,170
57,180
58,180
59,144
60,170
61,170
62,180
63,180
64,181
65,181
66,181
67,181
68,181
69,181
70,181
71,181
72,188
73,155
74,144
75,188
76,127
77,172
78,96
79,127
80,155
81,121
82,144
83,96
84,172
85,144
86,96
87,127
88,186
89,144
90,96
91,127
92,127
93,144
94,127
95,127
96,171
97,171
98,171
99,171
100,144
101,171
102,171
103,127
104,144
105,144
106,144
107,144
108,144
109,144
110,144
111,172
112,170
113,170
114,121
115,186
116,172
117,186
118,121
119,144
120,180
121,170
122,144
123,96
124,170
125,180
126,96
127,180
128,181
129,16
130,181
131,181
132,181
133,16
134,181
135,181
136,155
137,144
138,185
139,96
140,144
141,155
142,155
143,155
144,180
145,157
146,180
147,180
148,180
149,180
150,180
151,180
152,96
153,127
154,127
155,151
156,144
157,127
158,180
159,151
160,16
161,172
162,186
163,144
164,144
165,184
166,172
167,144
168,127
169,180
170,181
171,127
172,127
173,127
174,127
175,151
176,144
177,144
178,144
179,144
180,144
181,144
182,144
183,144
184,127
185,144
186,157
187,184
188,171
189,184
190,184
191,96
192,151
193,151
194,127
195,96
196,96
197,127
198,96
199,96
200,144
201,144
202,188
203,186
204,151
205,144
206,96
207,127
208,170
209,121
210,170
211,121
212,186
213,170
214,186
215,121
216,144
217,144
218,170
219,170
220,180
221,180
222,96
223,96
224,96
225,151
226,151
227,151
228,151
229,151
230,96
231,151
232,127
233,127
234,180
235,157
236,157
237,127
238,157
239,180
240,181
241,181
242,181
243,16
244,181
245,181
246,181
247,16
248,127
249,186
250,157
251,181
252,180
253,181
254,181
255,16
256,180
257,96
258,96
259,144
260,180
261,96
262,96
263,144
264,170
265,170
266,170
267,170
268,170
269,170
270,170
271,170
272,170
273,96
274,96
275,170
276,96
277,170
278,96
279,96
280,144
281,144
282,188
283,127
284,185
285,127
286,127
287,185
288,127
289,127
290,144
291,144
292,171
293,171
294,144
295,144
296,127
297,127
298,151
299,160
300,127
301,127
302,96
303,127
304,151
305,96
306,151
307,151
308,151
