id,target
0,181
1,193
2,193
3,181
4,193
5,155
6,155
7,193
8,193
9,193
10,181
11,193
12,193
13,181
14,193
15,198
16,191
17,191
18,191
19,191
20,96
21,96
22,191
23,191
24,96
25,157
26,193
27,198
28,181
29,96
30,200
31,193
32,193
33,193
34,193
35,193
36,193
37,193
38,193
39,193
40,193
41,157
42,200
43,181
44,157
45,196
46,181
47,181
48,157
49,185
50,185
51,193
52,181
53,193
54,181
55,200
56,96
57,181
58,181
59,193
60,96
61,96
62,181
63,181
64,185
65,181
66,155
67,181
68,155
69,185
70,185
71,181
72,181
73,200
74,193
75,196
76,191
77,181
78,193
79,96
80,155
81,155
82,193
83,96
84,200
85,193
86,96
87,191
88,185
89,193
90,193
91,96
92,191
93,193
94,191
95,96
96,181
97,200
98,200
99,200
100,193
101,181
102,181
103,96
104,193
105,193
106,193
107,193
108,193
109,193
110,193
111,181
112,96
113,96
114,155
115,185
116,157
117,185
118,181
119,193
120,181
121,96
122,193
123,193
124,96
125,200
126,193
127,200
128,155
129,181
130,200
131,185
132,155
133,200
134,200
135,181
136,200
137,193
138,195
139,96
140,193
141,181
142,181
143,155
144,200
145,157
146,181
147,200
148,181
149,200
150,181
151,181
152,193
153,191
154,191
155,193
156,193
157,191
158,181
159,193
160,200
161,157
162,185
163,193
164,193
165,198
166,157
167,193
168,96
169,181
170,155
171,191
172,191
173,191
174,191
175,193
176,193
177,193
178,193
179,193
180,193
181,193
182,193
183,193
184,191
185,193
186,157
187,198
188,200
189,198
190,198
191,193
192,193
193,193
194,191
195,193
196,193
197,96
198,96
199,193
200,193
201,193
202,196
203,185
204,193
205,193
206,193
207,191
208,96
209,200
210,96
211,181
212,185
213,96
214,185
215,200
216,193
217,193
218,96
219,96
220,200
221,181
222,193
223,96
224,96
225,193
226,193
227,193
228,193
229,193
230,96
231,193
232,96
233,191
234,181
235,157
236,157
237,191
238,157
239,181
240,155
241,185
242,155
243,181
244,155
245,181
246,181
247,157
248,96
249,185
250,157
251,185
252,181
253,181
254,155
255,181
256,181
257,193
258,96
259,193
260,200
261,96
262,193
263,193
264,96
265,96
266,96
267,96
268,96
269,96
270,96
271,96
272,96
273,193
274,96
275,96
276,96
277,96
278,193
279,193
280,193
281,193
282,196
283,191
284,195
285,96
286,96
287,195
288,191
289,191
290,193
291,193
292,181
293,200
294,193
295,193
296,191
297,191
298,193
299,185
300,191
301,191
302,193
303,191
304,193
305,96
306,193
307,193
308,193
309,191
310,96
311,193
312,185
313,155
314,200
315,185
316,185
317,96
318,185
319,96
320,193
321,193
322,193
323,181
324,193
325,96
326,96
327,155
328,191
329,185
330,200
331,96
332,200
333,200
334,96
335,185
336,193
337,181
338,96
339,96
340,96
341,193
342,191
343,96
344,96
345,193
346,193
347,96
348,191
349,193
350,193
351,193
352,191
353,193
354,200
355,181
356,181
357,193
358,157
359,198
360,157
361,185
362,193
363,181
364,96
365,185
366,193
367,96
368,181
369,193
370,181
371,157
372,191
373,181
374,191
375,191
376,193
377,191
378,191
379,193
380,200
381,96
382,96
383,193
384,191
385,193
386,96
387,200
388,193
389,96
390,193
391,96
392,200
393,193
394,193
395,193
396,96
397,96
398,193
399,200
400,200
401,157
402,185
403,157
404,200
405,200
406,200
407,181
408,185
409,181
410,96
411,96
412,155
413,185
414,185
415,155
416,185
417,155
418,181
419,181
420,191
421,200
422,191
423,157
424,181
425,157
426,200
427,96
428,193
429,193
430,193
431,157
432,181
433,200
434,157
435,200
436,157
437,157
438,191
439,155
440,200
441,193
442,181
443,191
444,193
445,193
446,193
447,193
448,193
449,193
450,193
451,193
452,193
453,193
454,193
455,193
456,193
457,193
458,185
459,185
460,155
461,193
462,96
463,155
464,193
465,181
466,193
467,193
468,200
469,181
470,181
471,185
472,155
473,200
474,191
475,191
476,191
477,181
478,157
479,193
480,193
481,200
482,193
483,181
484,185
485,193
486,193
487,193
488,181
489,185
490,193
491,184
492,185
493,193
494,181
495,185
496,198
497,199
498,193
499,185
500,193
501,193
502,96
503,193
504,193
505,193
506,193
507,193
508,193
509,193
510,191
511,191
512,191
513,191
514,191
515,185
516,199
517,191
518,185
519,191
520,191
521,96
522,96
523,96
524,96
525,96
526,96
527,96
528,157
529,96
530,96
531,193
532,96
533,185
534,200
535,200
536,185
537,198
538,185
539,155
540,198
541,185
542,181
543,198
544,181
545,181
546,196
547,181
548,181
549,181
550,157
551,96
552,96
553,185
554,193
555,191
556,96
557,193
558,96
559,96
560,96
561,181
562,96
563,181
564,191
565,181
566,96
567,96
568,193
569,181
570,181
571,191
572,200
573,193
574,181
575,96
576,185
577,193
578,191
579,96
580,193
581,193
582,155
583,96
584,185
585,96
586,181
587,193
588,191
589,191
590,193
591,193
592,191
593,96
594,193
595,191
596,193
597,185
598,185
599,181
600,185
601,155
602,96
603,96
604,193
605,181
606,191
607,191
608,96
609,185
610,193
611,96
612,193
613,185
614,193
615,193
616,193
617,185
618,96
619,181
620,185
621,181
622,157
623,193
624,193
625,185
626,96
627,193
628,157
629,96
630,96
631,155
632,96
633,181
634,157
635,191
636,96
637,181
638,193
639,195
640,193
641,157
642,181
643,193
644,191
645,155
646,185
647,181
648,181
649,193
650,193
651,96
652,193
653,198
654,184
655,198
656,185
657,185
658,185
659,96
660,181
661,193
662,200
663,185
664,193
665,185
666,191
667,185
668,181
669,191
670,181
671,181
672,157
673,198
674,193
675,193
676,193
677,96
678,181
679,181
680,191
681,157
682,185
683,198
684,181
685,181
686,191
687,193
688,193
689,193
690,181
691,193
692,193
693,198
694,96
695,193
696,181
697,193
698,181
699,185
700,193
701,96
702,191
703,96
704,193
705,193
706,96
707,185
708,96
709,96
710,181
711,193
712,96
713,191
714,181
715,96
716,193
717,193
718,193
719,193
720,155
721,185
722,184
723,200
724,155
725,193
726,193
727,193
728,96
729,193
730,193
731,96
732,191
733,185
734,193
735,198
736,193
737,193
738,193
739,193
740,96
741,185
742,193
743,96
744,193
745,193
746,193
747,185
748,181
749,181
750,185
751,199
752,193
753,200
754,96
755,181
756,193
757,185
758,193
759,193
760,96
761,185
762,96
763,191
764,191
765,200
766,193
767,193
768,96
769,96
770,193
771,193
772,96
773,193
774,157
775,155
776,191
777,195
778,181
779,185
780,193
781,185
782,198
783,96
784,193
785,191
786,193
787,196
788,155
789,96
790,193
791,96
792,185
793,96
794,96
795,96
796,193
797,185
798,181
799,185
800,193
801,191
802,200
803,155
804,193
805,96
806,193
807,185
808,193
809,181
810,193
811,157
812,155
813,193
814,185
815,185
816,185
817,193
818,193
819,193
820,191
821,191
822,191
823,193
824,193
825,193
826,191
827,193
828,191
829,157
830,200
831,200
832,96
833,191
834,185
835,191
836,181
837,191
838,191
839,193
840,181
841,193
842,155
843,96
844,193
845,181
846,181
847,198
848,193
849,191
850,96
851,200
852,193
853,96
854,191
855,193
856,193
857,185
858,193
859,193
860,198
861,181
862,157
863,198
864,191
865,193
866,181
867,96
868,96
869,96
870,185
871,193
872,191
873,193
874,185
875,181
876,191
877,191
878,191
879,200
880,96
881,193
882,193
883,155
884,191
885,193
886,96
887,193
888,96
889,157
890,200
891,191
892,185
893,193
894,181
895,181
896,200
897,181
898,193
899,193
900,96
901,96
902,200
903,193
904,200
905,193
906,96
907,193
908,185
909,96
910,185
911,193
912,96
913,184
914,96
915,193
916,185
917,181
918,185
919,193
920,200
921,200
922,193
923,193
924,96
925,155
926,193
927,193
928,193
929,185
930,200
931,193
932,96
933,155
934,181
935,96
936,198
937,200
938,193
939,185
940,200
941,96
942,193
943,199
944,96
945,191
946,193
947,193
948,181
949,193
950,191
951,181
952,193
953,193
954,193
955,157
956,155
957,155
958,200
959,191
960,193
961,193
962,193
963,181
964,185
965,200
966,193
967,185
968,191
969,185
970,181
971,191
972,193
973,157
974,96
975,155
976,157
977,191
978,193
979,193
980,184
981,193
982,181
983,193
984,185
985,185
986,96
987,181
988,96
989,193
990,193
991,193
992,185
993,181
994,193
995,193
996,181
997,155
998,181
999,185
