0	987
0	43
0	47
0	368
0	570
0	370
0	778
0	861
0	996
1	946
1	954
1	568
2	705
2	482
2	692
2	808
2	893
2	689
2	991
2	691
2	643
2	927
3	599
3	419
4	717
4	336
4	726
4	379
5	313
5	803
5	128
6	803
6	775
6	472
6	242
6	68
6	788
6	417
6	975
6	254
6	724
7	947
7	784
7	824
7	159
7	229
7	322
7	725
7	852
7	771
7	827
8	11
8	12
8	9
8	14
8	490
8	493
8	362
8	911
8	486
8	627
9	11
9	14
9	12
9	770
9	649
9	911
9	676
9	800
9	953
10	494
10	488
10	696
10	13
10	355
10	684
10	570
10	243
10	563
11	614
11	989
11	119
11	923
11	711
11	911
11	770
11	928
12	14
12	490
12	498
12	661
12	614
12	919
12	828
12	928
13	355
13	696
13	494
13	647
13	642
13	698
13	561
13	43
14	498
14	493
14	664
14	711
14	923
14	747
14	885
15	496
15	735
15	863
15	847
15	860
15	936
15	914
15	406
15	497
15	71
16	18
16	22
16	19
16	520
16	510
16	519
16	512
16	669
16	833
16	686
16	849
16	555
16	732
16	877
17	19
17	18
17	519
17	511
17	513
17	510
17	512
17	443
17	835
17	854
17	375
17	732
17	666
17	588
17	173
18	19
18	513
18	511
18	835
18	512
18	669
18	22
18	833
18	154
18	884
18	420
18	701
18	283
19	510
19	511
19	512
19	513
19	835
19	833
19	856
19	669
19	854
19	422
19	838
19	589
20	701
20	888
20	789
20	867
20	791
20	797
20	21
20	427
20	593
20	382
20	694
21	867
21	795
21	794
21	583
21	712
21	248
22	513
22	520
22	510
22	849
22	835
22	377
22	691
22	877
22	713
22	592
22	732
22	242
22	171
23	514
23	517
24	772
24	728
24	29
24	703
24	911
24	731
24	783
24	884
24	529
24	524
25	681
25	423
25	186
26	960
26	280
26	638
26	966
26	738
27	847
27	735
27	683
27	860
27	653
27	655
27	165
27	782
27	673
27	750
28	442
28	996
28	982
28	861
28	660
28	917
28	714
28	245
28	948
28	570
28	569
28	800
28	895
28	683
28	670
29	694
29	462
29	728
29	772
29	912
29	703
29	706
29	932
29	265
30	753
30	130
30	534
30	400
30	921
30	920
30	149
31	926
31	961
31	736
31	919
31	37
31	949
31	927
31	35
31	819
31	808
32	37
32	35
32	36
32	746
32	887
32	881
32	819
32	856
32	53
32	280
33	34
33	36
33	38
33	37
33	35
33	881
33	989
33	746
33	919
33	819
34	37
34	39
34	36
34	856
34	927
34	848
34	800
34	926
34	839
35	37
35	39
35	36
35	856
35	926
35	881
35	734
36	38
36	37
36	881
36	839
36	926
36	928
37	746
37	989
37	926
37	736
38	39
38	734
38	927
38	919
38	697
38	819
38	746
38	949
39	819
39	881
39	736
39	734
39	848
39	887
39	746
40	140
40	461
40	960
40	844
40	729
40	455
40	137
40	952
40	927
40	638
41	889
41	811
41	672
41	166
41	371
41	829
41	44
41	478
41	862
41	973
41	774
41	641
41	145
42	765
42	134
42	534
42	937
42	55
43	47
43	987
43	570
43	714
43	65
43	710
43	846
43	150
43	545
43	875
43	748
43	670
44	478
44	889
44	672
44	973
44	622
44	161
44	528
44	634
44	902
44	829
45	546
45	282
45	75
45	787
45	775
45	834
46	142
46	845
46	894
46	141
46	545
46	685
46	875
46	836
46	245
46	690
46	714
46	917
46	424
46	710
46	47
46	548
46	648
46	67
46	169
46	998
46	483
47	778
47	570
47	679
47	670
47	256
47	151
47	407
47	483
47	494
47	917
47	847
47	120
