id,target
0,199
1,193
2,193
3,199
4,193
5,155
6,155
7,193
8,193
9,193
10,199
11,193
12,193
13,199
14,193
15,199
16,155
17,155
18,155
19,155
20,96
21,96
22,155
23,155
24,96
25,184
26,193
27,199
28,199
29,96
30,200
31,193
32,193
33,193
34,193
35,193
36,193
37,193
38,193
39,193
40,193
41,184
42,200
43,199
44,184
45,196
46,199
47,199
48,184
49,185
50,185
51,193
52,199
53,193
54,199
55,200
56,96
57,199
58,199
59,193
60,96
61,96
62,199
63,199
64,185
65,199
66,155
67,199
68,155
69,185
70,185
71,199
72,199
73,200
74,193
75,196
76,155
77,199
78,193
79,96
80,155
81,155
82,193
83,96
84,200
85,193
86,96
87,155
88,185
89,193
90,193
91,96
92,155
93,193
94,155
95,96
96,199
97,200
98,200
99,200
100,193
101,199
102,199
103,96
104,193
105,193
106,193
107,193
108,193
109,193
110,193
111,199
112,96
113,96
114,155
115,185
116,184
117,185
118,199
119,193
120,199
121,96
122,193
123,193
124,96
125,200
126,193
127,200
128,155
129,199
130,200
131,185
132,155
133,200
134,200
135,199
136,200
137,193
138,195
139,96
140,193
141,199
142,199
143,155
144,200
145,184
146,199
147,200
148,199
149,200
150,199
151,199
152,193
153,155
154,155
155,193
156,193
157,155
158,199
159,193
160,200
161,184
162,185
163,193
164,193
165,199
166,184
167,193
168,96
169,199
170,155
171,155
172,155
173,155
174,155
175,193
176,193
177,193
178,193
179,193
180,193
181,193
182,193
183,193
184,155
185,193
186,184
187,199
188,200
189,199
190,199
191,193
192,193
193,193
194,155
195,193
196,193
197,96
198,96
199,193
200,193
201,193
202,196
203,185
204,193
205,193
206,193
207,155
208,96
209,200
210,96
211,199
212,185
213,96
214,185
215,200
216,193
217,193
218,96
219,96
220,200
221,199
222,193
223,96
224,96
225,193
226,193
227,193
228,193
229,193
230,96
231,193
232,96
233,155
234,199
235,184
236,184
237,155
238,184
239,199
240,155
241,185
242,155
243,199
244,155
245,199
246,199
247,184
248,96
249,185
250,184
251,185
252,199
253,199
254,155
255,199
256,199
257,193
258,96
259,193
260,200
261,96
262,193
263,193
264,96
265,96
266,96
267,96
268,96
269,96
270,96
271,96
272,96
273,193
274,96
275,96
276,96
277,96
278,193
279,193
280,193
281,193
282,196
283,155
284,195
285,96
286,96
287,195
288,155
289,155
290,193
291,193
292,199
293,200
294,193
295,193
296,155
297,155
298,193
299,185
300,155
301,155
302,193
303,155
304,193
305,96
306,193
307,193
308,193
309,155
310,96
311,193
312,185
313,155
314,200
315,185
316,185
317,96
318,185
319,96
320,193
321,193
322,193
323,199
324,193
325,96
326,96
327,155
328,155
329,185
330,200
331,96
332,200
333,200
334,96
335,185
336,193
337,199
338,96
339,96
340,96
341,193
342,155
343,96
344,96
345,193
346,193
347,96
348,155
349,193
350,193
351,193
352,155
353,193
354,200
355,199
356,199
357,193
358,184
359,199
360,184
361,185
362,193
363,199
364,96
365,185
366,193
367,96
368,199
369,193
370,199
371,184
372,155
373,199
