graph,avg_clus_coeff
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.025210084033613446
6,0.022727272727272728
7,0.0196078431372549
8,0.017045454545454544
9,0.015706806282722512
10,0.014423076923076924
11,0.013452914798206279
12,0.012552301255230125
13,0.011764705882352941
14,0.011111111111111112
15,0.01048951048951049
16,0.010067114093959731
17,0.00946372239747634
18,0.008928571428571428
19,0.008547008547008548
20,0.008152173913043478
21,0.007751937984496124
22,0.007389162561576354
23,0.007125890736342043
24,0.006818181818181818
25,0.006507592190889371
26,0.006224066390041493
27,0.006048387096774193
28,0.005780346820809248
29,0.0056179775280898875
30,0.0055147058823529415
31,0.005385996409335727
32,0.005253940455341506
33,0.005119453924914676
34,0.0049833887043189366
35,0.004885993485342019
36,0.0047694753577106515
37,0.004746835443037975
38,0.0046875
39,0.004629629629629629
40,0.0045871559633027525
41,0.004524886877828055
42,0.004431314623338257
43,0.004392386530014641
44,0.00436046511627907
45,0.004316546762589928
46,0.004285714285714286
47,0.004225352112676056
48,0.004189944134078212
49,0.004137931034482759
50,0.00411522633744856
51,0.007197480881691409
52,0.004010695187165776
53,0.003989361702127659
54,0.003963011889035667
55,0.003942181340341655
56,0.0030621172353455816
57,0.0030421555845284655
58,0.003038194444444444
59,0.0030107526881720426
60,0.0029914529914529912
61,0.002968617472434266
62,0.002949852507374631
63,0.002927645336679213
64,0.0029239766081871343
65,0.0029130253849354967
66,0.002902155887230514
67,0.002688172043010753
68,0.0028877887788778876
69,0.0028842192006592496
70,0.002873563218390804
71,0.0028700287002870026
72,0.0028594771241830064
73,0.0028490028490028487
74,0.0028490028490028487
75,0.002831715210355987
76,0.0028351559335763462
77,0.0028214429665457475
78,0.0028112449799196785
79,0.0031497418244406192
80,0.0031383982164294283
81,0.003134635149023638
82,0.003134635149023638
83,0.0031308810949529507
84,0.0036397812713602185
85,0.0036310944425502895
86,0.0036168882827594044
87,0.005024884062888813
88,0.005024884062888813
89,0.004793046826340525
90,0.005890170795158919
91,0.005852352775429699
92,0.005831648697214735
93,0.005824779853048405
94,0.0057974655278289515
95,0.007520697894093457
96,0.007688261351052046
97,0.008308531746031743
98,0.00995595926231764
99,0.009553913519430758
100,0.009711994763541152
101,0.010249510763209393
102,0.011617639092041821
103,0.012145016736853472
104,0.012810764169767567
105,0.01213126247101332
106,0.01198547215496368
107,0.0121482075976458
108,0.012120969464018791
109,0.012681507580610719
110,0.012653137317566848
111,0.012892830510280173
112,0.012892830510280173
113,0.012892830510280173
114,0.013304070231444533
115,0.013243161848072563
116,0.01299239013365821
117,0.012750268065882685
118,0.012694037556220578
119,0.01282690021676806
120,0.012917723490410718
121,0.012853916763608395
122,0.013006459376096338
123,0.01295058077236295
124,0.01302392143976302
125,0.013078053837129741
126,0.013176188890474602
127,0.013146536003678858
128,0.013658301693427922
129,0.013571887420571627
130,0.01289536502884424
131,0.012845002068196816
132,0.012789429146103103
133,0.012966038211939849
134,0.012933077851110636
135,0.012903429296871917
136,0.013008654975868087
137,0.013185600070845968
138,0.013765843569337013
139,0.014030838621002547
140,0.014128458062884285
141,0.014076567027386692
142,0.014103891014371359
143,0.014389751334496723
144,0.016160440160440156
145,0.01562215801698002
146,0.016467821306530978
147,0.018490949318016984
148,0.01698650283859286
149,0.017558135564566427
150,0.017928165677361812
151,0.017742121218057044
152,0.017069003486115775
153,0.01759049031776304
154,0.017282076212557493
155,0.017131757131757127
156,0.016863934972909327
157,0.017034200367533697
158,0.01746075624280752
159,0.017388890786326678
160,0.017323099785786344
161,0.017315366462487988
162,0.017098093803850727
163,0.017589606555491407
164,0.01708191335850909
165,0.017140750261769363
166,0.017295699700158287
167,0.017163813421775195
168,0.017127670255984138
169,0.01707207630774509
170,0.017239027017970435
171,0.017369757305126347
172,0.017615711903342105
173,0.017709686423856397
174,0.017606676204320756
175,0.017713311668944753
176,0.01806162834640891
177,0.01788162108607022
178,0.017905812342885404
179,0.018258264123908612
180,0.018091998505532322
181,0.01808361043040878
182,0.018157140034356978
183,0.0182647244391027
184,0.01833365493400959
185,0.018635548336336034
186,0.018606267627263424
187,0.018624724197642547
188,0.018833893597214425
189,0.018516784837381207
190,0.018458404621106254
191,0.02008949111287386
192,0.01967829453619219
193,0.019222633828165556
194,0.018178699155443557
195,0.022438282595369258
196,0.02226357959047757
197,0.02224026694169173
198,0.023666793593579264
199,0.022923043329148195
200,0.022875386274409843
201,0.02282478349891283
202,0.02303386163620188
203,0.023008147713277673
204,0.022960659276304966
205,0.024169192715440827
206,0.02431297548567165
207,0.0242145603067251
208,0.02427424572902101
209,0.024446618877352774
210,0.02458071162083559
211,0.024988541907840372
212,0.02503645619755794
213,0.024313423303900652
214,0.024893467121649387
215,0.024892307079505738
216,0.024785748700493725
217,0.02482551416111535
218,0.02499102070595526
219,0.024807754485617246
220,0.02457439379204247
221,0.02393508655089286
222,0.024233338282102626
223,0.02471479503152347
224,0.025766504058692616
225,0.025936919873280215
226,0.02656707331861613
227,0.02668768214558799
228,0.02720235794377163
229,0.027268752464565355
230,0.027087452002566032
231,0.02691721025929058
232,0.02674782541438671
233,0.02702612905660473
234,0.02699376816797473
235,0.026925810301851726
236,0.02706396640331058
237,0.027288065557073346
238,0.02695974963242715
239,0.02761733759888362
240,0.02752132537458061
241,0.02745343671198726
242,0.02729583803096699
243,0.02761272060794302
244,0.02708717686146581
245,0.02708139418983408
246,0.027260141783741868
247,0.027448073146804596
248,0.027572302311407546
249,0.027745886457077408
250,0.02877729740110278
251,0.030981827587160934
252,0.031068763747681312
253,0.032859490487698116
254,0.03313396809483292
255,0.03354587140951146
256,0.034591540230621956
257,0.03494243202888218
258,0.03474006467064438
259,0.03455024942516112
260,0.0347194371301806
261,0.03459903892248785
262,0.034585592646490915
263,0.03612933954313308
264,0.03502810973941114
265,0.0351339042629025
266,0.03521957848218817
267,0.035330198516573215
268,0.03530118079168283
269,0.035018993842829214
270,0.035325157936872104
271,0.03547033262750134
272,0.035479952637121344
273,0.035115479023984625
274,0.03528995101663845
275,0.03538622399169929
276,0.03551361838379958
277,0.035439500582409036
278,0.035572650261013264
279,0.035489782874224315
280,0.035937113321554755
281,0.035756609886113434
282,0.03581077299762224
283,0.036482147519433454
284,0.03661868012348638
285,0.03655647559272574
286,0.03765392212538799
287,0.037924252830699216
288,0.03827338894374846
289,0.0381285897418993
290,0.038235095312878956
291,0.03825875550020578
292,0.03843660569874766
293,0.03831450685455538
294,0.03829577984911461
295,0.038532153158204456
296,0.03913841456848595
297,0.03920744659731699
298,0.03911521610307644
299,0.039677713348990756
300,0.03977992269743127
301,0.03972503621038397
302,0.04026706258155607
303,0.04010449561678925
304,0.03991607023008143
305,0.039759386502602544
306,0.03982923633763987
307,0.040097136850573596
308,0.03871340956649147
309,0.03838873424181614
310,0.038398998408706815
